"","Year","District","Block","Crop","Yield"
"3753",2016,"D18","B22","Bajra",2750
"3754",2016,"D1","B23","Bajra",1927
"3755",2016,"D1","B24","Bajra",1595
"3756",2016,"D1","B25","Bajra",1400
"3757",2016,"D1","B26","Bajra",1942
"3758",2016,"D1","B27","Bajra",2154
"3759",2016,"D1","B28","Bajra",1848
"3760",2016,"D1","B29","Bajra",1815
"3761",2016,"D1","B30","Bajra",1192
"3762",2016,"D1","B31","Bajra",1659
"3763",2016,"D1","B32","Bajra",1262
"3764",2016,"D17","B33","Bajra",1777
"3765",2016,"D17","B34","Bajra",2051
"3766",2016,"D17","B35","Bajra",2070
"3767",2016,"D17","B36","Bajra",1740
"3768",2016,"D17","B37","Bajra",1856
"3769",2016,"D6","B38","Bajra",2247
"3770",2016,"D6","B39","Bajra",2785
"3771",2016,"D6","B40","Bajra",1894
"3772",2016,"D6","B41","Bajra",1583
"3773",2016,"D6","B42","Bajra",2393
"3774",2016,"D19","B43","Bajra",2052
"3775",2016,"D19","B44","Bajra",2182
"3776",2016,"D19","B45","Bajra",2150
"3777",2016,"D19","B46","Bajra",1727
"3778",2016,"D19","B47","Bajra",1982
"3779",2016,"D19","B48","Bajra",1616
"3780",2016,"D19","B49","Bajra",2132
"3781",2016,"D5","B50","Bajra",2142
"3782",2016,"D5","B51","Bajra",2159
"3783",2016,"D5","B52","Bajra",1459
"3784",2016,"D5","B53","Bajra",2383
"3785",2016,"D12","B54","Bajra",2026
"3786",2016,"D12","B55","Bajra",2218
"3787",2016,"D12","B56","Bajra",1880
"3788",2016,"D12","B57","Bajra",1794
"3789",2016,"D12","B58","Bajra",2109
"3790",2016,"D3","B60","Bajra",2648
"3791",2016,"D3","B61","Bajra",1776
"3792",2016,"D13","B62","Bajra",1833
"3793",2016,"D13","B63","Bajra",1609
"3794",2016,"D13","B64","Bajra",1740
"3795",2016,"D13","B65","Bajra",2111
"3797",2016,"D15","B67","Bajra",1092
"3798",2016,"D15","B68","Bajra",2025
"3799",2016,"D15","B69","Bajra",1459
"3800",2016,"D15","B70","Bajra",1971
"3805",2016,"D9","B75","Bajra",2017
"3812",2016,"D8","B82","Bajra",1786
"3813",2016,"D8","B83","Bajra",1380
"3814",2016,"D8","B84","Bajra",1948
"3815",2016,"D8","B85","Bajra",2290
"3816",2016,"D8","B86","Bajra",2065
"3825",2016,"D14","B6","Bajra",3749
"3826",2016,"D14","B95","Bajra",2551
"3827",2016,"D14","B96","Bajra",1281
"3834",2016,"D7","B103","Bajra",1821
"3835",2016,"D7","B104","Bajra",1670
"3836",2016,"D7","B105","Bajra",1481
"3837",2016,"D7","B106","Bajra",2227
"3838",2016,"D7","B107","Bajra",1771
"3839",2016,"D7","B108","Bajra",1675
"3840",2016,"D7","B109","Bajra",1928
"3841",2016,"D11","B110","Bajra",2439
"3842",2016,"D11","B111","Bajra",1934
"3843",2016,"D11","B123","Bajra",2472
"3844",2016,"D11","B112","Bajra",2494
"3845",2016,"D11","B113","Bajra",2344
"3846",2016,"D11","B122","Bajra",2300
"3847",2016,"D11","B121","Bajra",2300
"3848",2016,"D11","B114","Bajra",2300
"3849",2016,"D16","B115","Bajra",2291
"3850",2016,"D16","B116","Bajra",1851
"3851",2016,"D16","B117","Bajra",2437
"3852",2016,"D16","B118","Bajra",2164
"3853",2016,"D16","B119","Bajra",2093
